iter	MultiClass
0	1.601345809
1	1.593439889
2	1.585648414
3	1.57803847
4	1.570603753
5	1.563438539
6	1.556328919
7	1.549435542
8	1.542633622
9	1.536009337
10	1.529527324
11	1.523234258
12	1.517015889
13	1.511044314
14	1.505039382
15	1.499158657
16	1.493422095
17	1.487854736
18	1.482315928
19	1.476887986
20	1.471611937
21	1.46637425
22	1.461292675
23	1.456336017
24	1.451399484
25	1.446498262
26	1.441702843
27	1.437065415
28	1.432503751
29	1.427986807
30	1.42359585
31	1.419162184
32	1.414939025
33	1.410730419
34	1.406598281
35	1.402580648
36	1.398583042
37	1.394665236
38	1.390693452
39	1.386914392
40	1.38309714
41	1.379469821
42	1.375858284
43	1.372309238
44	1.368708798
45	1.365383765
46	1.362001809
47	1.358660501
48	1.355444571
49	1.352108448
50	1.348994692
51	1.345746975
52	1.342665743
53	1.339624719
54	1.336620045
55	1.333667649
56	1.330796055
57	1.328007658
58	1.325066423
59	1.322158144
60	1.319424221
61	1.316734734
62	1.313959355
63	1.311377608
64	1.308790625
65	1.306296113
66	1.30369116
67	1.301128137
68	1.298663109
69	1.296274287
70	1.293861908
71	1.291667112
72	1.289456666
73	1.287068036
74	1.284713239
75	1.282500288
76	1.280243931
77	1.277989505
78	1.275928556
79	1.2738181
80	1.271762081
81	1.269626433
82	1.267661738
83	1.265585004
84	1.263622502
85	1.261689841
86	1.259907086
87	1.258081171
88	1.256270467
89	1.25434713
90	1.252444269
91	1.250725245
92	1.248934762
93	1.247492326
94	1.245894827
95	1.244198513
96	1.242463573
97	1.24075507
98	1.239242779
99	1.23753552
100	1.235912239
101	1.234460475
102	1.232889672
103	1.231314746
104	1.229920628
105	1.228347437
106	1.227132581
107	1.225745893
108	1.224491333
109	1.223106409
110	1.221925893
111	1.220480537
112	1.21914818
113	1.217990148
114	1.216907487
115	1.215607566
116	1.214234613
117	1.212838431
118	1.211574071
119	1.210479292
120	1.209401723
121	1.208223839
122	1.206944891
123	1.205687008
124	1.204447941
125	1.203427934
126	1.202216827
127	1.201062302
128	1.199903745
129	1.198760569
130	1.197810801
131	1.196658235
132	1.195563992
133	1.194692587
134	1.19354078
135	1.192527618
136	1.191521631
137	1.190645465
138	1.189736146
139	1.188781517
140	1.187959681
141	1.18691922
142	1.185900265
143	1.184918523
144	1.184091416
145	1.183168692
146	1.182308811
147	1.181550905
148	1.180564665
149	1.179723194
150	1.178888506
151	1.178072893
152	1.177190482
153	1.176259238
154	1.175439286
155	1.174637669
156	1.173877854
157	1.173093309
158	1.172320206
159	1.171682166
160	1.170972353
161	1.170235265
162	1.16954713
163	1.168726044
164	1.168062612
165	1.167221707
166	1.166665503
167	1.166108539
168	1.165321355
169	1.164782842
170	1.164056831
171	1.163429013
172	1.162775136
173	1.16222624
174	1.161567739
175	1.160964056
176	1.160369351
177	1.159871802
178	1.159166978
179	1.158472485
180	1.157965407
181	1.157466166
182	1.156850727
183	1.156378438
184	1.155891495
185	1.155485056
186	1.155011876
187	1.154422651
188	1.153840348
189	1.153454042
190	1.152858766
191	1.152349292
192	1.151900996
193	1.151334535
194	1.150757702
195	1.150327246
196	1.149737574
197	1.149101846
198	1.148637436
199	1.148224607
200	1.147634536
201	1.147022771
202	1.146563181
203	1.14616234
204	1.145762091
205	1.145270399
206	1.144769413
207	1.144336187
208	1.143760197
209	1.143218578
210	1.142797722
211	1.142320584
212	1.141884828
213	1.141373841
214	1.140878238
215	1.140496804
216	1.14005791
217	1.139714657
218	1.139319661
219	1.139037109
220	1.138673763
221	1.138241967
222	1.1377967
223	1.137514345
224	1.137095686
225	1.136779203
226	1.13630588
227	1.135900399
228	1.135588573
229	1.135314169
230	1.134925953
231	1.134518321
232	1.134111058
233	1.133748969
234	1.133328687
235	1.13297413
236	1.132624792
237	1.132343123
238	1.132110291
239	1.131756193
240	1.131335137
241	1.130969697
242	1.130643578
243	1.130286701
244	1.130061517
245	1.12979015
246	1.129393322
247	1.129042058
248	1.128775862
249	1.128483022
250	1.128115581
251	1.127867538
252	1.127548114
253	1.127296817
254	1.126970052
255	1.126679651
256	1.126364372
257	1.126067533
258	1.125751407
259	1.12544551
260	1.12518524
261	1.12486862
262	1.124572873
263	1.124235099
264	1.124003263
265	1.123652139
266	1.123376456
267	1.123033344
268	1.122848947
269	1.12265183
270	1.122411981
271	1.122116255
272	1.121869652
273	1.121671402
274	1.121400498
275	1.121137376
276	1.120862482
277	1.120578221
278	1.120361996
279	1.120061202
280	1.119882335
281	1.119733092
282	1.11944151
283	1.119160727
284	1.118864144
285	1.118582039
286	1.118372127
287	1.118124776
288	1.117985277
289	1.117712792
290	1.117483691
291	1.117267381
292	1.117076044
293	1.116847479
294	1.116708613
295	1.11659635
296	1.116420048
297	1.116164189
298	1.115998451
299	1.115781698
300	1.115549939
301	1.115385176
302	1.115141486
303	1.115014761
304	1.114789525
305	1.114634815
306	1.114462219
307	1.114226578
308	1.114057623
309	1.113908154
310	1.113710163
311	1.113542913
312	1.113332466
313	1.113169982
314	1.11302126
315	1.112862197
316	1.112675895
317	1.112487668
318	1.112275785
319	1.112103966
320	1.111954954
321	1.111777639
322	1.111593101
323	1.111454772
324	1.111387571
325	1.111253317
326	1.111114223
327	1.110942635
328	1.110766634
329	1.110612055
330	1.110456934
331	1.110328984
332	1.110161057
333	1.109975624
334	1.109794193
335	1.10966735
336	1.109500003
337	1.109336297
338	1.109218614
339	1.109116308
340	1.109022995
341	1.108865467
342	1.108756434
343	1.10863594
344	1.108449866
345	1.108373707
346	1.108255944
347	1.108110364
348	1.107996994
349	1.1078843
350	1.107775778
351	1.10763487
352	1.107468117
353	1.107296174
354	1.107133045
355	1.107000192
356	1.106919399
357	1.106802915
358	1.106645734
359	1.106537835
360	1.106412594
361	1.106261401
